year,state,eligible,not eligible,information not available,postal,ap_abbr
2015,National,252.674540675,276.671185167,281.543306099,US,U.S.
2015,Alabama,249.589802074,270.313789802,,AL,Ala.
2015,Alaska,244.827944912,273.924629827,,AK,Alaska
2015,Arizona,253.721582433,273.550611215,280.074203779,AZ,Ariz.
2015,Arkansas,249.702571837,272.992022547,,AR,Ark.
2015,California,248.79393835,273.426168949,271.053175639,CA,Calif.
2015,Colorado,253.354664679,279.672194972,,CO,Colo.
2015,Connecticut,255.691799038,282.237802333,,CT,Conn.
2015,Delaware,252.777842181,269.292354623,,DE,Del.
2015,District of Columbia,238.550714011,275.601380478,,DC,D.C.
2015,DoDEA,,,277.191363427,,
2015,Florida,256.561631548,274.64695044,,FL,Fla.
2015,Georgia,253.057305031,276.619001881,268.484564533,GA,Ga.
2015,Hawaii,246.986822794,267.916396088,,HI,Hawaii
2015,Idaho,259.386054087,276.111405814,,ID,Idaho
2015,Illinois,255.731543859,278.874870228,,IL,Ill.
2015,Indiana,256.802140368,279.507818624,,IN,Ind.
2015,Iowa,255.784597995,275.713716676,,IA,Iowa
2015,Kansas,255.517228565,277.448285256,,KS,Kan.
2015,Kentucky,259.040164343,278.817190701,,KY,Ky.
2015,Louisiana,248.844315792,267.308162685,,LA,La.
2015,Maine,259.512263828,275.191025884,,ME,Maine
2015,Maryland,252.122666529,279.207534804,,MD,Md.
2015,Massachusetts,260.170917732,285.521303709,,MA,Mass.
2015,Michigan,252.034969604,274.611333607,,MI,Mich.
2015,Minnesota,254.646854465,278.600230219,,MN,Minn.
2015,Mississippi,245.133645041,270.079867612,,MS,Miss.
2015,Missouri,254.589553444,277.597737006,,MO,Mo.
2015,Montana,258.52660627,278.501191238,,MT,Mont.
2015,Nebraska,255.912355524,279.325863829,,NE,Neb.
2015,Nevada,250.227478614,269.912996455,,NV,Nev.
2015,New Hampshire,260.117016121,279.605669292,,NH,N.H.
2015,New Jersey,251.862566032,279.949685408,,NJ,N.J.
2015,New Mexico,247.474063231,266.27338334,,NM,N.M.
2015,New York,253.550467677,275.169024278,,NY,N.Y.
2015,North Carolina,248.70729295,277.019468767,,NC,N.C.
2015,North Dakota,254.070087992,272.353835621,,ND,N.D.
2015,Ohio,252.094362258,278.710677383,,OH,Ohio
2015,Oklahoma,255.262657452,272.341143995,,OK,Okla.
2015,Oregon,258.369873137,278.851777411,,OR,Ore.
2015,Pennsylvania,252.95799651,282.404719181,,PA,Pa.
2015,Rhode Island,250.042097955,277.437962815,,RI,R.I.
2015,South Carolina,250.076316698,273.961919583,,SC,S.C.
2015,South Dakota,255.856440669,273.702806389,,SD,S.D.
2015,Tennessee,253.711366488,277.589225355,,TN,Tenn.
2015,Texas,251.813529523,272.065142241,,TX,Texas
2015,Utah,255.768327956,277.079699035,,UT,Utah
2015,Vermont,260.905735879,282.240178533,,VT,Vt.
2015,Virginia,250.467489732,277.503900604,,VA,Va.
2015,Washington,253.652274938,280.589603452,,WA,Wash.
2015,West Virginia,255.626908294,268.297632087,,WV,W.Va.
2015,Wisconsin,253.167945171,277.528180467,278.129492617,WI,Wis.
2015,Wyoming,257.170087121,275.565443512,,WY,Wyo.
