state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,postal,ap_abbr
Alabama,,,201.956994882188,199.286095805498,,227.695864005171,Ala.,AL
Alaska,169.452226064484,206.098116630933,211.606759420735,211.088931750878,219.406615820114,223.21842902245,Alaska,AK
Arizona,186.356781032483,240.348033007672,205.517037177531,204.244811664461,232.177716207032,231.534562376504,Ariz.,AZ
Arkansas,,207.718949003381,198.254830285713,210.392930516689,,223.542742433286,Ark.,AR
California,,242.152782666098,198.692720528868,204.240299616703,231.3192869715,231.359000575944,Calif.,CA
Colorado,,236.105684664136,206.314381540915,209.278876083704,227.854867908924,235.40508283729,Colo.,CO
Connecticut,,248.179690892347,209.524478514554,213.021804610724,234.016403187002,237.815505490987,Conn.,CT
Delaware,,249.895219375367,209.387655059011,209.268548470555,224.327308323086,232.619479496775,Del.,DE
District of Columbia,,,206.795405413502,204.447692474163,,256.265815418117,D.C.,DC
DoDEA,,232.861227161694,226.04463510171,229.144645143414,235.01193515547,239.631306394514,,
Florida,,249.119987017149,212.366361417269,224.933756107077,229.92756152641,238.500971600586,Fla.,FL
Georgia,,247.539153491873,206.262401005859,213.548534445652,225.679000984139,230.771208173,Ga.,GA
Hawaii,,212.07320332426,,212.130004948313,222.216190552937,233.450735095999,Hawaii,HI
Idaho,,,,204.96584678239,,227.752770815132,Idaho,ID
Illinois,,243.865529287448,199.485411929581,209.102286510873,218.671030282589,231.803870050429,Ill.,IL
Indiana,,,209.978061289431,214.27393350892,224.105437792067,231.064569186819,Ind.,IN
Iowa,,,188.266969871815,204.624207498469,217.449517878787,227.024456167013,Iowa,IA
Kansas,,235.621451611051,202.289506455635,215.939131905766,220.291351534634,227.774241608701,Kan.,KS
Kentucky,,228.124136786048,203.944234072362,215.958778623462,224.616344431306,227.449206124414,Ky.,KY
Louisiana,,,197.761191894463,208.222818335094,,225.499203804456,La.,LA
Maine,,,191.797158947646,,,223.098647579918,Maine,ME
Maryland,,245.271235335562,212.480909607946,209.412096478465,227.764532606023,239.290476699165,Md.,MD
Massachusetts,,247.142994590119,218.942022126605,216.628302805524,236.718202234936,243.062378720082,Mass.,MA
Michigan,,237.255897664963,196.631119614216,205.526113800135,219.137122608707,223.565851381587,Mich.,MI
Minnesota,,221.461424702188,197.280792190445,205.870851590747,228.773250346887,231.709525515567,Minn.,MN
Mississippi,,,203.005103469246,213.289559185956,,228.882547289552,Miss.,MS
Missouri,,,199.915057252495,215.030390960878,227.932716921154,227.195340018674,Mo.,MO
Montana,195.552375127666,,,221.161272891716,217.750931710625,226.668036677223,Mont.,MT
Nation,202.813431407101,238.472596171442,205.31416451077,208.027292303881,225.891672596881,231.036996914853,U.S.,US
Nebraska,,224.478939271795,200.522027831476,210.9328169012,218.243554403444,230.751150001079,Neb.,NE
Nevada,,230.634178926792,204.205813063719,205.248653743131,224.554661917566,227.299792418713,Nev.,NV
New Hampshire,,235.047544887325,,214.565952372231,,229.660975178583,N.H.,NH
New Jersey,,248.415937323422,215.749343857423,217.767284961892,,242.96590112226,N.J.,NJ
New Mexico,189.006327390138,,,203.500654237127,,225.377455964155,N.M.,NM
New York,,237.277858906892,207.631187337179,207.59323463023,,232.167118421013,N.Y.,NY
North Carolina,,240.222103194614,210.762209696024,210.719275876917,228.490055137413,234.697936411611,N.C.,NC
North Dakota,199.964532498812,,204.956285758114,208.409281355985,222.344217217914,225.452693780185,N.D.,ND
Ohio,,243.066694417979,202.641088674906,216.094068330637,223.536177204869,230.794174780505,Ohio,OH
Oklahoma,212.862070640689,,203.380580244592,209.278458184161,221.300133453494,221.242905950204,Okla.,OK
Oregon,,229.671072144126,,199.720481280203,222.54480520384,224.44693804407,Ore.,OR
Pennsylvania,,246.867252829251,203.452238972071,201.685899257331,228.404938969665,232.333861576714,Pa.,PA
Rhode Island,,229.10750524874,205.625152987668,208.366811725894,219.373402794593,232.997748196861,R.I.,RI
South Carolina,,,196.135506707562,205.349776406757,223.805634387582,225.12959930009,S.C.,SC
South Dakota,195.862469188206,,,209.655668387006,223.703030934826,227.994485236743,S.D.,SD
Tennessee,,,201.455070301269,205.289398683244,217.417848138356,227.37707526019,Tenn.,TN
Texas,,238.092508012103,210.049994903321,206.02953136832,222.741847021687,230.78366159015,Texas,TX
Utah,,,,200.41552869503,,231.416035007562,Utah,UT
Vermont,,,,,217.068449087711,227.90848651538,Vt.,VT
Virginia,,244.362643171107,210.36079529341,214.13401436247,231.705958968821,237.190336411638,Va.,VA
Washington,,230.16423978327,203.032502424226,203.991070919924,226.72156271423,232.623561908479,Wash.,WA
West Virginia,,,201.240312843971,,211.801002281955,217.865207415515,W.Va.,WV
Wisconsin,,218.70167050654,193.824085333063,200.970731637258,222.801367364927,226.432129113874,Wis.,WI
Wyoming,206.40474823565,,,210.130929399896,224.150843861722,230.417021036076,Wyo.,WY
