state,white,black,hispanic,asian/pacific islander,american indian/alaska native,postal,ap_abbr
Nation,248.241466981,222.998608189,229.360900364,257.902401841,227.28043425,US,U.S.
Alabama,241.837115208,218.72344227,217.794825457,,,AL,Ala.
Alaska,243.717500995,222.578071069,224.391767707,227.027744503,207.875412763,AK,Alaska
Arizona,247.166537546,215.947400909,225.908444951,252.980796305,223.461737079,AZ,Ariz.
Arkansas,240.277273144,214.300828076,230.351370988,235.857333147,,AR,Ark.
California,245.352838071,217.529701734,222.52499164,258.006046163,,CA,Calif.
Colorado,250.269303511,222.682144089,226.243074012,250.445475065,,CO,Colo.
Connecticut,248.635147732,222.160905872,222.919608115,258.210844833,,CT,Conn.
Delaware,246.230905243,222.385157326,228.813919224,266.201712926,,DE,Del.
Florida,255.111934166,233.337960287,241.558206741,266.644579534,,FL,Fla.
Georgia,247.009038285,223.287426332,228.454112594,272.188009091,,GA,Ga.
Hawaii,248.144836069,,232.454367492,236.347680221,,HI,Hawaii
Idaho,244.348480442,,221.533921536,,,ID,Idaho
Illinois,249.033325321,217.015340839,226.636858363,263.121381527,,IL,Ill.
Indiana,251.229600312,225.81263834,233.882787103,,,IN,Ind.
Iowa,247.38629889,214.913399743,231.285914268,,,IA,Iowa
Kansas,245.635169095,222.54150792,232.649506914,249.274699459,,KS,Kan.
Kentucky,242.841399274,217.527955454,229.579189873,263.925990956,,KY,Ky.
Louisiana,242.279910078,215.83964263,223.72347218,,,LA,La.
Maine,241.208729842,216.275900494,,,,ME,Maine
Maryland,254.272153747,226.376617407,228.878698448,263.554057763,,MD,Md.
Massachusetts,255.106641991,229.13656055,234.161609553,262.342156241,,MA,Mass.
Michigan,241.658945428,211.099966131,222.843862457,261.24927411,,MI,Mich.
Minnesota,256.073211141,222.462656208,228.852097953,246.077428308,,MN,Minn.
Mississippi,246.35011656,224.206371305,238.639044731,,,MS,Miss.
Missouri,245.021852605,216.172737027,227.476676974,,,MO,Mo.
Montana,245.087393036,,229.976830878,,216.41345531,MT,Mont.
Nebraska,252.151056151,219.920767303,233.339654404,255.781432509,,NE,Neb.
Nevada,241.075401066,216.143041131,225.258529328,251.597079542,,NV,Nev.
New Hampshire,246.143178247,,226.982149266,261.167069682,,NH,N.H.
New Jersey,255.367958596,228.138721606,235.605267634,271.250033575,,NJ,N.J.
New Mexico,244.497353761,,225.724566141,,217.522213416,NM,N.M.
New York,243.721248604,224.465464251,223.431305857,251.657120137,,NY,N.Y.
North Carolina,250.715930572,224.427535438,234.822578216,258.201895767,,NC,N.C.
North Dakota,248.084496713,229.419292044,230.516532073,,224.836211955,ND,N.D.
Ohio,246.235418842,219.841301356,229.098786647,262.801260779,,OH,Ohio
Oklahoma,243.636179778,217.543779617,229.734633661,,233.013077474,OK,Okla.
Oregon,238.776573426,,218.468689237,245.7318018,,OR,Ore.
Pennsylvania,250.047651914,216.083473935,220.851528664,266.245653035,,PA,Pa.
Rhode Island,244.856524806,225.094532719,224.24356771,254.874821409,,RI,R.I.
South Carolina,244.784735227,219.197372284,230.255844285,,,SC,S.C.
South Dakota,247.397510969,218.992247019,228.911819802,,220.114481845,SD,S.D.
Tennessee,243.543546333,221.671424453,225.547953051,,,TN,Tenn.
Texas,252.645461095,228.54785637,235.844255645,264.856898619,,TX,Texas
Utah,246.925329463,,226.171928844,231.493804426,,UT,Utah
Vermont,241.32045608,226.186924054,,,,VT,Vt.
Virginia,257.640387024,230.991258725,234.958751907,263.865146166,,VA,Va.
Washington,247.82839339,227.813754456,226.031920885,253.53375991,,WA,Wash.
West Virginia,236.575885107,226.078809791,,,,WV,W.Va.
Wisconsin,246.814019357,210.960045724,225.039414673,242.158317949,,WI,Wis.
Wyoming,250.395009257,,237.277141345,,220.878858779,WY,Wyo.
District of Columbia,271.92187065,223.576611438,230.175453849,,,DC,D.C.
