state,white,black,hispanic,state/jurisdiction_r,asian/pacific islander,american indian/alaska native,postal,ap_abbr
Nation,231.810360781,206.245938045,208.665997441,,238.892975476,201.932870185,US,U.S.
Alabama,227.695863941,201.956994861,199.286095775,,,,AL,Ala.
Alaska,223.218429048,211.60675934,211.088931664,,206.098116733,169.452225991,AK,Alaska
Arizona,231.534562346,205.517037437,204.244811683,,240.348032643,186.356781045,AZ,Ariz.
Arkansas,223.542742502,198.254830234,210.392930375,,207.718949003,,AR,Ark.
California,231.359000715,198.69272056,204.240299526,,242.152782677,,CA,Calif.
Colorado,235.40508282,206.314381444,209.278876029,,236.105684796,,CO,Colo.
Connecticut,237.815505524,209.524478551,213.021804687,,248.179690621,,CT,Conn.
Delaware,232.619479518,209.387655149,209.268548321,,249.895218874,,DE,Del.
Florida,238.500971561,212.366361415,224.93375606,,249.119987041,,FL,Fla.
Georgia,230.771208207,206.262400937,213.548534479,,247.539153368,,GA,Ga.
Hawaii,233.450735038,,212.130004955,,212.073203352,,HI,Hawaii
Idaho,227.752770816,,204.965846761,,,,ID,Idaho
Illinois,231.803870118,199.485411788,209.102286562,,243.865529183,,IL,Ill.
Indiana,231.064569116,209.978061347,214.273933321,,,,IN,Ind.
Iowa,227.02445613,188.26697,204.624207552,,,,IA,Iowa
Kansas,227.774241606,202.289506393,215.939131844,,235.621452215,,KS,Kan.
Kentucky,227.449206129,203.944234037,215.958778682,,228.124137151,,KY,Ky.
Louisiana,225.499203766,197.761191911,208.222818191,,,,LA,La.
Maine,223.098647547,191.797158738,,,,,ME,Maine
Maryland,239.2904767,212.480909649,209.412096504,,245.271235548,,MD,Md.
Massachusetts,243.062378756,218.942022025,216.628302808,,247.142994806,,MA,Mass.
Michigan,223.565851366,196.631119663,205.526113907,,237.255897887,,MI,Mich.
Minnesota,231.709525487,197.280792199,205.87085158,,221.461424833,,MN,Minn.
Mississippi,228.882547282,203.0051034,213.289558989,,,,MS,Miss.
Missouri,227.19534,199.915057168,215.030390992,,,,MO,Mo.
Montana,226.66803667,,221.161272938,,,195.552375124,MT,Mont.
Nebraska,230.751149917,200.522028059,210.932816864,,224.478939462,,NE,Neb.
Nevada,227.299792457,204.205812981,205.248653697,,230.634178883,,NV,Nev.
New Hampshire,229.660975111,,214.565952263,,235.04754476,,NH,N.H.
New Jersey,242.965901199,215.749344098,217.767285092,,248.415937244,,NJ,N.J.
New Mexico,225.377456004,,203.500654255,,,189.006327416,NM,N.M.
New York,232.167118369,207.631187207,207.593234561,,237.277858628,,NY,N.Y.
North Carolina,234.697936459,210.762209624,210.719276063,,240.222103224,,NC,N.C.
North Dakota,225.452693757,204.956286146,208.409281183,,,199.964532463,ND,N.D.
Ohio,230.794174771,202.641088716,216.094068375,,243.06669452,,OH,Ohio
Oklahoma,221.242905854,203.380580125,209.278458215,,,212.862070702,OK,Okla.
Oregon,224.446938125,,199.720481234,,229.671072157,,OR,Ore.
Pennsylvania,232.333861544,203.452238954,201.685899262,,246.86725296,,PA,Pa.
Rhode Island,232.997748265,205.625152821,208.366811714,,229.107505205,,RI,R.I.
South Carolina,225.129599324,196.135506752,205.349776279,,,,SC,S.C.
South Dakota,227.994485238,,209.655668125,,,195.862469152,SD,S.D.
Tennessee,227.377075323,201.455070314,205.289398731,,,,TN,Tenn.
Texas,230.783661645,210.049994762,206.029531411,,238.092508121,,TX,Texas
Utah,231.416035042,,200.41552869,,,,UT,Utah
Vermont,227.908486375,,,,,,VT,Vt.
Virginia,237.190336328,210.360795331,214.134014315,,244.362643254,,VA,Va.
Washington,232.623561946,203.032502601,203.991071013,,230.164239675,,WA,Wash.
West Virginia,217.865207476,201.240312916,,,,,WV,W.Va.
Wisconsin,226.432129083,193.824085204,200.970731753,,218.70167057,,WI,Wis.
Wyoming,230.417021039,,210.130929353,,,206.404748484,WY,Wyo.
District of Columbia,256.265815414,206.795405327,204.447692524,,,,DC,D.C.
